ID	Gene Name	Species	OMIM_DISEASE
NPHS2	NPHS2, podocin(NPHS2)	Homo sapiens	600995~Nephrotic syndrome, type 2,
POU3F4	POU class 3 homeobox 4(POU3F4)	Homo sapiens	304400~Deafness, X-linked 2,
RSPO1	R-spondin 1(RSPO1)	Homo sapiens	610644~Palmoplantar hyperkeratosis and true hermaphroditism,610644~Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal,
SLITRK6	SLIT and NTRK like family member 6(SLITRK6)	Homo sapiens	221200~Deafness and myopia,
SMOC1	SPARC related modular calcium binding 1(SMOC1)	Homo sapiens	206920~Microphthalmia with limb anomalies,
SP7	Sp7 transcription factor(SP7)	Homo sapiens	613849~Osteogenesis imperfecta, type XII,
WNK4	WNK lysine deficient protein kinase 4(WNK4)	Homo sapiens	614491~Pseudohypoaldosteronism, type IIB,
WNT7A	Wnt family member 7A(WNT7A)	Homo sapiens	228930~Fuhrmann syndrome,276820~Ulna and fibula, absence of, with severe limb deficiency,
XPNPEP2	X-prolyl aminopeptidase 2(XPNPEP2)	Homo sapiens	300909~Angioedema induced by ACE inhibitors, susceptibility to,
AGXT	alanine-glyoxylate aminotransferase(AGXT)	Homo sapiens	259900~Hyperoxaluria, primary, type 1,
ALB	albumin(ALB)	Homo sapiens	615999~Dysalbuminemic hyperthyroxinemia,616000~Analbuminemia,
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	103780~Alcohol dependence, protection against,Aerodigestive tract cancer, squamous cell, alcohol-related, protection against~Aerodigestive tract cancer, squamous cell, alcohol-related, protection against,
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens	103780~Alcohol dependence, protection against,168600~Parkinson disease, susceptibility to,
AKR1D1	aldo-keto reductase family 1 member D1(AKR1D1)	Homo sapiens	235555~Bile acid synthesis defect, congenital, 2,
ALDOB	aldolase, fructose-bisphosphate B(ALDOB)	Homo sapiens	229600~Fructose intolerance,
TTPA	alpha tocopherol transfer protein(TTPA)	Homo sapiens	277460~Ataxia with isolated vitamin E deficiency,
AMELX	amelogenin, X-linked(AMELX)	Homo sapiens	301200~Amelogenesis imperfecta, type 1E,
APCS	amyloid P component, serum(APCS)	Homo sapiens	Amyloidosis, secondary, susceptibility to~Amyloidosis, secondary, susceptibility to,
APOA2	apolipoprotein A2(APOA2)	Homo sapiens	143890~Hypercholesterolemia, familial, modifier of,Apolipoprotein A-II deficiency~Apolipoprotein A-II deficiency,
AQP2	aquaporin 2(AQP2)	Homo sapiens	125800~Diabetes insipidus, nephrogenic,
AQP5	aquaporin 5(AQP5)	Homo sapiens	600231~Palmoplantar keratoderma, Bothnian type,
AVPR2	arginine vasopressin receptor 2(AVPR2)	Homo sapiens	300539~Nephrogenic syndrome of inappropriate antidiuresis,304800~Diabetes insipidus, nephrogenic,
ARMC4	armadillo repeat containing 4(ARMC4)	Homo sapiens	615451~Ciliary dyskinesia, primary, 23,
BMPR1B	bone morphogenetic protein receptor type 1B(BMPR1B)	Homo sapiens	112600~Brachydactyly, type A2,609441~Acromesomelic dysplasia, Demirhan type,
BCHE	butyrylcholinesterase(BCHE)	Homo sapiens	Apnea, postanesthetic~Apnea, postanesthetic,
CDH3	cadherin 3(CDH3)	Homo sapiens	225280~Ectodermal dysplasia, ectrodactyly, and macular dystrophy,601553~Hypotrichosis, congenital, with juvenile macular dystrophy,
CASR	calcium sensing receptor(CASR)	Homo sapiens	145980~Hypocalciuric hypercalcemia, type I,239200~Hyperparathyroidism, neonatal,601198~Hypocalcemia, autosomal dominant,601198~Hypocalcemia, autosomal dominant, with Bartter syndrome,612899~Epilepsy idiopathic generalized, susceptibility to, 8,Calcium, serum level of~Calcium, serum level of,Hypercalciuric hypercalcemia~Hypercalciuric hypercalcemia,
CACNA1S	calcium voltage-gated channel subunit alpha1 S(CACNA1S)	Homo sapiens	170400~Hypokalemic periodic paralysis, type 1,188580~Thyrotoxic periodic paralysis, susceptibility to, 1,601887~Malignant hyperthermia susceptibility 5,
CA8	carbonic anhydrase 8(CA8)	Homo sapiens	613227~Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3,
CLIC5	chloride intracellular channel 5(CLIC5)	Homo sapiens	616042~Deafness, autosomal recessive 103,
CLCNKA	chloride voltage-gated channel Ka(CLCNKA)	Homo sapiens	613090~Bartter syndrome, type 4b, digenic,
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit(CHRNA1)	Homo sapiens	253290~Multiple pterygium syndrome, lethal type,601462~Myasthenic syndrome, congenital, 1A, slow-channel,608930~Myasthenic syndrome, congenital, 1B, fast-channel,
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit(CHRNA4)	Homo sapiens	188890~Nicotine addiction, susceptibility to,600513~Epilepsy, nocturnal frontal lobe, 1,
CHRDL1	chordin like 1(CHRDL1)	Homo sapiens	Megalocornea 1, X-linked 309300~Megalocornea 1, X-linked 309300,
CLDN14	claudin 14(CLDN14)	Homo sapiens	614035~Deafness, autosomal recessive 29,
CLDN16	claudin 16(CLDN16)	Homo sapiens	248250~Hypomagnesemia 3, renal,
CLDN19	claudin 19(CLDN19)	Homo sapiens	248190~Hypomagnesemia 5, renal, with ocular involvement,
F11	coagulation factor XI(F11)	Homo sapiens	612416~Factor XI deficiency, autosomal dominant,612416~Factor XI deficiency, autosomal recessive,
CCBE1	collagen and calcium binding EGF domains 1(CCBE1)	Homo sapiens	235510~Hennekam lymphangiectasia-lymphedema syndrome 1,
COL4A6	collagen type IV alpha 6 chain(COL4A6)	Homo sapiens	300914~Deafness, X-linked 6,
CR2	complement C3d receptor 2(CR2)	Homo sapiens	610927~Systemic lupus erythematosus, susceptibility to, 9,614699~Immunodeficiency, common variable, 7,
C7	complement C7(C7)	Homo sapiens	610102~C7 deficiency,
CNTN1	contactin 1(CNTN1)	Homo sapiens	612540~Myopathy, congenital, Compton-North,
CRB2	crumbs 2, cell polarity complex component(CRB2)	Homo sapiens	219730~Ventriculomegaly with cystic kidney disease,616220~Focal segmental glomerulosclerosis 9,
CRYAA	crystallin alpha A(CRYAA)	Homo sapiens	604219~Cataract 9, multiple types,
CYP17A1	cytochrome P450 family 17 subfamily A member 1(CYP17A1)	Homo sapiens	202110~17,20-lyase deficiency, isolated,202110~17-alpha-hydroxylase/17,20-lyase deficiency,
CYP2B6	cytochrome P450 family 2 subfamily B member 6(CYP2B6)	Homo sapiens	614546~Efavirenz central nervous system toxicity, susceptibility to,614546~Efavirenz, poor metabolism of,
CYP27B1	cytochrome P450 family 27 subfamily B member 1(CYP27B1)	Homo sapiens	264700~Vitamin D-dependent rickets, type I,
DES	desmin(DES)	Homo sapiens	181400~Scapuloperoneal syndrome, neurogenic, Kaeser type,601419~Myopathy, myofibrillar, 1,604765~Cardiomyopathy, dilated, 1I,615325~Muscular dystrophy, limb-girdle, type 2R,
DPP6	dipeptidyl peptidase like 6(DPP6)	Homo sapiens	612956~Ventricular fibrillation, paroxysmal familial, 2,616311~Mental retardation, autosomal dominant 33,
EGF	epidermal growth factor(EGF)	Homo sapiens	611718~Hypomagnesemia 4, renal,
ESRRB	estrogen related receptor beta(ESRRB)	Homo sapiens	608565~Deafness, autosomal recessive 35,
EEF1A2	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)	Homo sapiens	616393~Mental retardation, autosomal dominant 38,616409~Epileptic encephalopathy, early infantile, 33,
FGF9	fibroblast growth factor 9(FGF9)	Homo sapiens	612961~Multiple synostoses syndrome 3,
FOXI1	forkhead box I1(FOXI1)	Homo sapiens	600791~Enlarged vestibular aqueduct,
FOXN1	forkhead box N1(FOXN1)	Homo sapiens	601705~T-cell immunodeficiency, congenital alopecia, and nail dystrophy,
FMN2	formin 2(FMN2)	Homo sapiens	616193~Mental retardation, autosomal recessive 47,
FUT3	fucosyltransferase 3 (Lewis blood group)(FUT3)	Homo sapiens	Blood group, Lewis~Blood group, Lewis,
GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit(GABRA2)	Homo sapiens	103780~Alcohol dependence, susceptibility to,
GJA3	gap junction protein alpha 3(GJA3)	Homo sapiens	601885~Cataract 14, multiple types,
GJA8	gap junction protein alpha 8(GJA8)	Homo sapiens	116200~Cataract 1, multiple types,
GDNF	glial cell derived neurotrophic factor(GDNF)	Homo sapiens	171300~Pheochromocytoma, modifier of,209880~Central hypoventilation syndrome,613711~Hirschsprung disease, susceptibility to, 3,
G6PC	glucose-6-phosphatase catalytic subunit(G6PC)	Homo sapiens	232200~Glycogen storage disease Ia,
GRM1	glutamate metabotropic receptor 1(GRM1)	Homo sapiens	614831~Spinocerebellar ataxia, autosomal recessive 13,
HP	haptoglobin(HP)	Homo sapiens	614081~Anhaptoglobinemia,614081~Hypohaptoglobinemia,
HRG	histidine rich glycoprotein(HRG)	Homo sapiens	613116~Thrombophilia due to elevated HRG,613116~Thrombophilia due to HRG deficiency,
IGF2	insulin like growth factor 2(IGF2)	Homo sapiens	616489~Growth restriction, severe, with distinctive facies,
ITGB6	integrin subunit beta 6(ITGB6)	Homo sapiens	616221~Amelogenesis imperfecta, type IH,
IL6	interleukin 6(IL6)	Homo sapiens	108010~Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to,125853~Diabetes, susceptibility to, 222100,148000~Kaposi sarcoma, susceptibility to,266600~Crohn disease-associated growth failure,604302~Rheumatoid arthritis, systemic juvenile,
IYD	iodotyrosine deiodinase(IYD)	Homo sapiens	274800~Thyroid dyshormonogenesis 4,
KLHL3	kelch like family member 3(KLHL3)	Homo sapiens	614495~Pseudohypoaldosteronism, type IID,
KIF1A	kinesin family member 1A(KIF1A)	Homo sapiens	610357~Spastic paraplegia 30, autosomal recessive,614213~Neuropathy, hereditary sensory, type IIC,614255~Mental retardation, autosomal dominant 9,
KNG1	kininogen 1(KNG1)	Homo sapiens	228960~High molecular weight kininogen deficiency,228960~Kininogen deficiency,
LAMB3	laminin subunit beta 3(LAMB3)	Homo sapiens	104530~Amelogenesis imperfecta, type IA,226650~Epidermolysis bullosa, junctional, non-Herlitz type,226700~Epidermolysis bullosa, junctional, Herlitz type,
LHCGR	luteinizing hormone/choriogonadotropin receptor(LHCGR)	Homo sapiens	176410~Leydig cell adenoma, somatic, with precocious puberty,176410~Precocious puberty, male,238320~Leydig cell hypoplasia with hypergonadotropic hypogonadism,238320~Leydig cell hypoplasia with pseudohermaphroditism,238320~Luteinizing hormone resistance, female,
MRAP2	melanocortin 2 receptor accessory protein 2(MRAP2)	Homo sapiens	615457~Obesity, susceptibility to, BMIQ18,
MYH7	myosin heavy chain 7(MYH7)	Homo sapiens	160500~Liang distal myopathy,181430~Scapuloperoneal syndrome, myopathic type,192600~Cardiomyopathy, hypertrophic, 1,255160~Myopathy, myosin storage, autosomal recessive,608358~Myopathy, myosin storage, autosomal dominant,613426~Cardiomyopathy, dilated, 1S,613426~Left ventricular noncompaction 5,
MYH8	myosin heavy chain 8(MYH8)	Homo sapiens	158300~Trismus-pseudocamptodactyly syndrome,608837~Carney complex variant,
NEB	nebulin(NEB)	Homo sapiens	256030~Nemaline myopathy 2, autosomal recessive,
NRXN1	neurexin 1(NRXN1)	Homo sapiens	614325~Pitt-Hopkins-like syndrome 2,614332~Schizophrenia, susceptibility to, 17,
PITX1	paired like homeodomain 1(PITX1)	Homo sapiens	119800~Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly,186550~Liebenberg syndrome,
PTH1R	parathyroid hormone 1 receptor(PTH1R)	Homo sapiens	125350~Failure of tooth eruption, primary,156400~Metaphyseal chondrodysplasia, Murk Jansen type,215045~Chondrodysplasia, Blomstrand type,600002~Eiken syndrome,
PTCHD1	patched domain containing 1(PTCHD1)	Homo sapiens	300830~Autism, susceptibility to, X-linked 4,
PAH	phenylalanine hydroxylase(PAH)	Homo sapiens	261600~Hyperphenylalaninemia, non-PKU mild,261600~Phenylketonuria,
PSAT1	phosphoserine aminotransferase 1(PSAT1)	Homo sapiens	610992~Phosphoserine aminotransferase deficiency,616038~Neu-Laxova syndrome 2,
PKP1	plakophilin 1(PKP1)	Homo sapiens	604536~Ectodermal dysplasia/skin fragility syndrome,
PLG	plasminogen(PLG)	Homo sapiens	217090~Dysplasminogenemia,217090~Plasminogen deficiency, type I,
KCNJ1	potassium voltage-gated channel subfamily J member 1(KCNJ1)	Homo sapiens	241200~Bartter syndrome, type 2,
KCNJ10	potassium voltage-gated channel subfamily J member 10(KCNJ10)	Homo sapiens	600791~Enlarged vestibular aqueduct, digenic,612780~SESAME syndrome,
KCNJ13	potassium voltage-gated channel subfamily J member 13(KCNJ13)	Homo sapiens	193230~Snowflake vitreoretinal degeneration,614186~Leber congenital amaurosis 16,
PROC	protein C, inactivator of coagulation factors Va and VIIIa(PROC)	Homo sapiens	176860~Thrombophilia due to protein C deficiency, autosomal dominant,612304~Thrombophilia due to protein C deficiency, autosomal recessive,
PROZ	protein Z, vitamin K dependent plasma glycoprotein(PROZ)	Homo sapiens	614024~Protein Z deficiency,
PTPRO	protein tyrosine phosphatase, receptor type O(PTPRO)	Homo sapiens	614196~Nephrotic syndrome, type 6,
PTPRQ	protein tyrosine phosphatase, receptor type Q(PTPRQ)	Homo sapiens	613391~Deafness, autosomal recessive 84A,
PLP1	proteolipid protein 1(PLP1)	Homo sapiens	312080~Pelizaeus-Merzbacher disease,312920~Spastic paraplegia 2, X-linked,
PCDH15	protocadherin related 15(PCDH15)	Homo sapiens	601067~Usher syndrome, type 1D/F digenic,602083~Usher syndrome, type 1F,609533~Deafness, autosomal recessive 23,
P2RX2	purinergic receptor P2X 2(P2RX2)	Homo sapiens	608224~Deafness, autosomal dominant 41,
RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)(RDH12)	Homo sapiens	612712~Leber congenital amaurosis 13,
SOST	sclerostin(SOST)	Homo sapiens	122860~Craniodiaphyseal dysplasia, autosomal dominant,239100~Van Buchem disease,269500~Sclerosteosis 1,
SERPINC1	serpin family C member 1(SERPINC1)	Homo sapiens	613118~Thrombophilia due to antithrombin III deficiency,
SERPIND1	serpin family D member 1(SERPIND1)	Homo sapiens	612356~Thrombophilia due to heparin cofactor II deficiency,
SCNN1B	sodium channel epithelial 1 beta subunit(SCNN1B)	Homo sapiens	177200~Liddle syndrome,211400~Bronchiectasis with or without elevated sweat chloride 1,264350~Pseudohypoaldosteronism, type I,
SCNN1G	sodium channel epithelial 1 gamma subunit(SCNN1G)	Homo sapiens	177200~Liddle syndrome,264350~Pseudohypoaldosteronism, type I,613071~Bronchiectasis with or without elevated sweat chloride 3,
SLC12A1	solute carrier family 12 member 1(SLC12A1)	Homo sapiens	601678~Bartter syndrome, type 1,
SLC12A3	solute carrier family 12 member 3(SLC12A3)	Homo sapiens	263800~Gitelman syndrome,
SLC14A1	solute carrier family 14 member 1 (Kidd blood group)(SLC14A1)	Homo sapiens	111000~Blood group, Kidd,
SLC26A4	solute carrier family 26 member 4(SLC26A4)	Homo sapiens	274600~Pendred syndrome,600791~Deafness, autosomal recessive 4, with enlarged vestibular aqueduct,
SLC30A2	solute carrier family 30 member 2(SLC30A2)	Homo sapiens	608118~Zinc deficiency, transient neonatal,
SLC30A8	solute carrier family 30 member 8(SLC30A8)	Homo sapiens	125853~Diabetes mellitus, noninsulin-dependent, susceptibility to,
SLC34A1	solute carrier family 34 member 1(SLC34A1)	Homo sapiens	612286~Nephrolithiasis/osteoporosis, hypophosphatemic, 1,613388~Fanconi renotubular syndrome 2,
SLC34A3	solute carrier family 34 member 3(SLC34A3)	Homo sapiens	241530~Hypophosphatemic rickets with hypercalciuria,
SLC36A2	solute carrier family 36 member 2(SLC36A2)	Homo sapiens	138500~Hyperglycinuria,242600~Iminoglycinuria, digenic,
SLC4A11	solute carrier family 4 member 11(SLC4A11)	Homo sapiens	217400~Corneal endothelial dystrophy and perceptive deafness,217700~Corneal endothelial dystrophy 2, autosomal recessive,613268~Corneal dystrophy, Fuchs endothelial, 4,
SLC5A2	solute carrier family 5 member 2(SLC5A2)	Homo sapiens	233100~Renal glucosuria,
SLC5A7	solute carrier family 5 member 7(SLC5A7)	Homo sapiens	158580~Neuronopathy, distal hereditary motor, type VIIA,
SLC6A17	solute carrier family 6 member 17(SLC6A17)	Homo sapiens	616269~Mental retardation, autosomal recessive 48,
SLC6A2	solute carrier family 6 member 2(SLC6A2)	Homo sapiens	604715~Orthostatic intolerance,
SPTBN2	spectrin beta, non-erythrocytic 2(SPTBN2)	Homo sapiens	600224~Spinocerebellar ataxia 5,615386~Spinocerebellar ataxia, autosomal recessive 14,
STRA6	stimulated by retinoic acid 6(STRA6)	Homo sapiens	601186~Microphthalmia, isolated, with coloboma 8,601186~Microphthalmia, syndromic 9,
SYT14	synaptotagmin 14(SYT14)	Homo sapiens	614229~Spinocerebellar ataxia, autosomal recessive 11,
TACR3	tachykinin receptor 3(TACR3)	Homo sapiens	614840~Hypogonadotropic hypogonadism 11 with or without anosmia,
TDGF1	teratocarcinoma-derived growth factor 1(TDGF1)	Homo sapiens	Forebrain defects~Forebrain defects,
TFAP2B	transcription factor AP-2 beta(TFAP2B)	Homo sapiens	169100~Char syndrome,
TRPM6	transient receptor potential cation channel subfamily M member 6(TRPM6)	Homo sapiens	602014~Hypomagnesemia 1, intestinal,
TNNC1	troponin C1, slow skeletal and cardiac type(TNNC1)	Homo sapiens	611879~Cardiomyopathy, dilated, 1Z,613243~Cardiomyopathy, hypertrophic, 13,
TNNI2	troponin I2, fast skeletal type(TNNI2)	Homo sapiens	601680~Arthrogryposis multiplex congenita, distal, type 2B,
TNNT2	troponin T2, cardiac type(TNNT2)	Homo sapiens	115195~Cardiomyopathy, hypertrophic, 2,601494~Cardiomyopathy, dilated, 1D,601494~Left ventricular noncompaction 6,612422~Cardiomyopathy, familial restrictive, 3,
TACSTD2	tumor-associated calcium signal transducer 2(TACSTD2)	Homo sapiens	204870~Corneal dystrophy, gelatinous drop-like,
TYRP1	tyrosinase related protein 1(TYRP1)	Homo sapiens	203290~Albinism, oculocutaneous, type III,612271~Skin/hair/eye pigmentation, variation in, 11 (Melanesian blond hair),
UMOD	uromodulin(UMOD)	Homo sapiens	162000~Hyperuricemic nephropathy, familial juvenile 1,603860~Medullary cystic kidney disease 2,609886~Glomerulocystic kidney disease with hyperuricemia and isosthenuria,
ZNF750	zinc finger protein 750(ZNF750)	Homo sapiens	610227~Seborrhea-like dermatitis with psoriasiform elements,
