ID	Gene Name	Species	GOTERM_MF_DIRECT
ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5(ST8SIA5)	Homo sapiens	GO:0003828~alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity,GO:0005515~protein binding,GO:0008373~sialyltransferase activity,
SP7	Sp7 transcription factor(SP7)	Homo sapiens	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0017151~DEAD/H-box RNA helicase binding,GO:0046872~metal ion binding,
TNFAIP8L3	TNF alpha induced protein 8 like 3(TNFAIP8L3)	Homo sapiens	GO:0008526~phosphatidylinositol transporter activity,GO:0035091~phosphatidylinositol binding,
UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus(UGT2A1)	Homo sapiens	GO:0015020~glucuronosyltransferase activity,GO:0016758~transferase activity, transferring hexosyl groups,
UGT3A2	UDP glycosyltransferase family 3 member A2(UGT3A2)	Homo sapiens	GO:0008194~UDP-glycosyltransferase activity,GO:0015020~glucuronosyltransferase activity,GO:0016758~transferase activity, transferring hexosyl groups,
UNCX	UNC homeobox(UNCX)	Homo sapiens	GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,
VTCN1	V-set domain containing T cell activation inhibitor 1(VTCN1)	Homo sapiens	GO:0005102~receptor binding,
WFDC12	WAP four-disulfide core domain 12(WFDC12)	Homo sapiens	GO:0004867~serine-type endopeptidase inhibitor activity,
WFDC3	WAP four-disulfide core domain 3(WFDC3)	Homo sapiens	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0030414~peptidase inhibitor activity,
WDR49	WD repeat domain 49(WDR49)	Homo sapiens	GO:0005509~calcium ion binding,
WNK4	WNK lysine deficient protein kinase 4(WNK4)	Homo sapiens	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019869~chloride channel inhibitor activity,
WNT7A	Wnt family member 7A(WNT7A)	Homo sapiens	GO:0005102~receptor binding,GO:0005109~frizzled binding,GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0048018~receptor agonist activity,
WNT7B	Wnt family member 7B(WNT7B)	Homo sapiens	GO:0005109~frizzled binding,
WNT8B	Wnt family member 8B(WNT8B)	Homo sapiens	GO:0005109~frizzled binding,
WNT9B	Wnt family member 9B(WNT9B)	Homo sapiens	GO:0005109~frizzled binding,GO:0039706~co-receptor binding,
XPNPEP2	X-prolyl aminopeptidase 2(XPNPEP2)	Homo sapiens	GO:0004177~aminopeptidase activity,GO:0016787~hydrolase activity,GO:0046872~metal ion binding,GO:0070006~metalloaminopeptidase activity,
ACPP	acid phosphatase, prostate(ACPP)	Homo sapiens	GO:0003993~acid phosphatase activity,GO:0008253~5'-nucleotidase activity,GO:0016791~phosphatase activity,GO:0042131~thiamine phosphate phosphatase activity,GO:0042802~identical protein binding,GO:0052642~lysophosphatidic acid phosphatase activity,
ACOT12	acyl-CoA thioesterase 12(ACOT12)	Homo sapiens	GO:0003986~acetyl-CoA hydrolase activity,GO:0005524~ATP binding,GO:0008289~lipid binding,GO:0047617~acyl-CoA hydrolase activity,GO:0052689~carboxylic ester hydrolase activity,
ADGRA1	adhesion G protein-coupled receptor A1(ADGRA1)	Homo sapiens	GO:0004930~G-protein coupled receptor activity,
ADGRF2	adhesion G protein-coupled receptor F2(ADGRF2)	Homo sapiens	GO:0004930~G-protein coupled receptor activity,
ADGRF3	adhesion G protein-coupled receptor F3(ADGRF3)	Homo sapiens	GO:0004930~G-protein coupled receptor activity,
AFM	afamin(AFM)	Homo sapiens	GO:0008431~vitamin E binding,
AGXT	alanine-glyoxylate aminotransferase(AGXT)	Homo sapiens	GO:0004760~serine-pyruvate transaminase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008453~alanine-glyoxylate transaminase activity,GO:0008483~transaminase activity,GO:0016597~amino acid binding,GO:0030170~pyridoxal phosphate binding,GO:0042803~protein homodimerization activity,GO:0043621~protein self-association,
ALB	albumin(ALB)	Homo sapiens	GO:0003677~DNA binding,GO:0005504~fatty acid binding,GO:0005507~copper ion binding,GO:0005515~protein binding,GO:0008144~drug binding,GO:0015643~toxic substance binding,GO:0016209~antioxidant activity,GO:0019825~oxygen binding,GO:0030170~pyridoxal phosphate binding,GO:0042802~identical protein binding,GO:0051087~chaperone binding,
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	GO:0004024~alcohol dehydrogenase activity, zinc-dependent,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens	GO:0004022~alcohol dehydrogenase (NAD) activity,GO:0004024~alcohol dehydrogenase activity, zinc-dependent,GO:0004745~retinol dehydrogenase activity,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens	GO:0003960~NADPH:quinone reductase activity,GO:0004022~alcohol dehydrogenase (NAD) activity,GO:0004024~alcohol dehydrogenase activity, zinc-dependent,GO:0004032~alditol:NADP+ 1-oxidoreductase activity,GO:0004745~retinol dehydrogenase activity,GO:0005503~all-trans retinal binding,GO:0008270~zinc ion binding,GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,GO:0019115~benzaldehyde dehydrogenase activity,GO:0019841~retinol binding,GO:0035276~ethanol binding,GO:0051287~NAD binding,
ALDH3B2	aldehyde dehydrogenase 3 family member B2(ALDH3B2)	Homo sapiens	GO:0004028~3-chloroallyl aldehyde dehydrogenase activity,GO:0004029~aldehyde dehydrogenase (NAD) activity,GO:0004030~aldehyde dehydrogenase [NAD(P)+] activity,GO:0016491~oxidoreductase activity,GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,
AKR1D1	aldo-keto reductase family 1 member D1(AKR1D1)	Homo sapiens	GO:0004033~aldo-keto reductase (NADP) activity,GO:0005496~steroid binding,GO:0047568~3-oxo-5-beta-steroid 4-dehydrogenase activity,GO:0047787~delta4-3-oxosteroid 5beta-reductase activity,
ALDOB	aldolase, fructose-bisphosphate B(ALDOB)	Homo sapiens	GO:0004332~fructose-bisphosphate aldolase activity,GO:0005515~protein binding,GO:0008092~cytoskeletal protein binding,GO:0042802~identical protein binding,GO:0051117~ATPase binding,GO:0061609~fructose-1-phosphate aldolase activity,GO:0070061~fructose binding,
AIF1L	allograft inflammatory factor 1 like(AIF1L)	Homo sapiens	GO:0005509~calcium ion binding,GO:0051015~actin filament binding,
AHSG	alpha 2-HS glycoprotein(AHSG)	Homo sapiens	GO:0004866~endopeptidase inhibitor activity,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0019210~kinase inhibitor activity,
TTPA	alpha tocopherol transfer protein(TTPA)	Homo sapiens	GO:0005215~transporter activity,GO:0005515~protein binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,GO:0008431~vitamin E binding,GO:0043325~phosphatidylinositol-3,4-bisphosphate binding,
AMELX	amelogenin, X-linked(AMELX)	Homo sapiens	GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0030345~structural constituent of tooth enamel,GO:0042802~identical protein binding,GO:0046848~hydroxyapatite binding,
AMPH	amphiphysin(AMPH)	Homo sapiens	GO:0005086~ARF guanyl-nucleotide exchange factor activity,GO:0005515~protein binding,GO:0005543~phospholipid binding,
APCS	amyloid P component, serum(APCS)	Homo sapiens	GO:0001849~complement component C1q binding,GO:0005509~calcium ion binding,GO:0030246~carbohydrate binding,GO:0046790~virion binding,GO:0046872~metal ion binding,GO:0051082~unfolded protein binding,
ASB15	ankyrin repeat and SOCS box containing 15(ASB15)	Homo sapiens	GO:0004842~ubiquitin-protein transferase activity,GO:0031625~ubiquitin protein ligase binding,
ANKRD1	ankyrin repeat domain 1(ANKRD1)	Homo sapiens	GO:0001085~RNA polymerase II transcription factor binding,GO:0001105~RNA polymerase II transcription coactivator activity,GO:0002039~p53 binding,GO:0003677~DNA binding,GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0031432~titin binding,GO:0042826~histone deacetylase binding,GO:0070412~R-SMAD binding,
APELA	apelin receptor early endogenous ligand(APELA)	Homo sapiens	GO:0005179~hormone activity,GO:0031704~apelin receptor binding,
APOA2	apolipoprotein A2(APOA2)	Homo sapiens	GO:0005319~lipid transporter activity,GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0008035~high-density lipoprotein particle binding,GO:0008289~lipid binding,GO:0015485~cholesterol binding,GO:0017127~cholesterol transporter activity,GO:0031210~phosphatidylcholine binding,GO:0034190~apolipoprotein receptor binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,GO:0055102~lipase inhibitor activity,GO:0060228~phosphatidylcholine-sterol O-acyltransferase activator activity,GO:0070653~high-density lipoprotein particle receptor binding,
AQP2	aquaporin 2(AQP2)	Homo sapiens	GO:0005215~transporter activity,GO:0005372~water transmembrane transporter activity,GO:0015168~glycerol transmembrane transporter activity,GO:0015250~water channel activity,GO:0015254~glycerol channel activity,
AQP5	aquaporin 5(AQP5)	Homo sapiens	GO:0005515~protein binding,GO:0015250~water channel activity,GO:0015254~glycerol channel activity,
AQP6	aquaporin 6(AQP6)	Homo sapiens	GO:0005215~transporter activity,GO:0005253~anion channel activity,GO:0015112~nitrate transmembrane transporter activity,GO:0015250~water channel activity,GO:0015254~glycerol channel activity,
AVPR2	arginine vasopressin receptor 2(AVPR2)	Homo sapiens	GO:0005000~vasopressin receptor activity,GO:0005515~protein binding,GO:0042277~peptide binding,
ARSI	arylsulfatase family member I(ARSI)	Homo sapiens	GO:0004065~arylsulfatase activity,GO:0005515~protein binding,GO:0008484~sulfuric ester hydrolase activity,GO:0046872~metal ion binding,
B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2(B4GALNT2)	Homo sapiens	GO:0008376~acetylgalactosaminyltransferase activity,
BMP7	bone morphogenetic protein 7(BMP7)	Homo sapiens	GO:0005125~cytokine activity,GO:0005160~transforming growth factor beta receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0008201~heparin binding,GO:0070700~BMP receptor binding,
BMPR1B	bone morphogenetic protein receptor type 1B(BMPR1B)	Homo sapiens	GO:0001948~glycoprotein binding,GO:0004674~protein serine/threonine kinase activity,GO:0004675~transmembrane receptor protein serine/threonine kinase activity,GO:0004702~receptor signaling protein serine/threonine kinase activity,GO:0005025~transforming growth factor beta receptor activity, type I,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0046332~SMAD binding,GO:0046872~metal ion binding,
BCHE	butyrylcholinesterase(BCHE)	Homo sapiens	GO:0001540~beta-amyloid binding,GO:0003824~catalytic activity,GO:0003990~acetylcholinesterase activity,GO:0004104~cholinesterase activity,GO:0016788~hydrolase activity, acting on ester bonds,GO:0019899~enzyme binding,GO:0033265~choline binding,GO:0042802~identical protein binding,
CDH19	cadherin 19(CDH19)	Homo sapiens	GO:0005509~calcium ion binding,
CDH3	cadherin 3(CDH3)	Homo sapiens	GO:0005509~calcium ion binding,
CALB1	calbindin 1(CALB1)	Homo sapiens	GO:0005499~vitamin D binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,
CHP2	calcineurin like EF-hand protein 2(CHP2)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,
CALCA	calcitonin related polypeptide alpha(CALCA)	Homo sapiens	GO:0005102~receptor binding,GO:0005179~hormone activity,GO:0005515~protein binding,GO:0031716~calcitonin receptor binding,GO:0032403~protein complex binding,GO:0042802~identical protein binding,
CASR	calcium sensing receptor(CASR)	Homo sapiens	GO:0004435~phosphatidylinositol phospholipase C activity,GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,
CACNA1S	calcium voltage-gated channel subunit alpha1 S(CACNA1S)	Homo sapiens	GO:0005245~voltage-gated calcium channel activity,GO:0005515~protein binding,GO:0008331~high voltage-gated calcium channel activity,GO:0046872~metal ion binding,
CAMK2A	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)	Homo sapiens	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004683~calmodulin-dependent protein kinase activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0035254~glutamate receptor binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,
CALML3	calmodulin like 3(CALML3)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,
CLSTN2	calsyntenin 2(CLSTN2)	Homo sapiens	GO:0005509~calcium ion binding,
CAPZA3	capping actin protein of muscle Z-line alpha subunit 3(CAPZA3)	Homo sapiens	GO:0003779~actin binding,
CA1	carbonic anhydrase 1(CA1)	Homo sapiens	GO:0004064~arylesterase activity,GO:0004089~carbonate dehydratase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016836~hydro-lyase activity,
CA8	carbonic anhydrase 8(CA8)	Homo sapiens	GO:0004089~carbonate dehydratase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,
CES5A	carboxylesterase 5A(CES5A)	Homo sapiens	GO:0016787~hydrolase activity,GO:0052689~carboxylic ester hydrolase activity,
CPA1	carboxypeptidase A1(CPA1)	Homo sapiens	GO:0004181~metallocarboxypeptidase activity,GO:0008270~zinc ion binding,
CASP14	caspase 14(CASP14)	Homo sapiens	GO:0004197~cysteine-type endopeptidase activity,GO:0005515~protein binding,GO:0097153~cysteine-type endopeptidase activity involved in apoptotic process,
CHL1	cell adhesion molecule L1 like(CHL1)	Homo sapiens	GO:0002020~protease binding,
CIDEA	cell death-inducing DFFA-like effector a(CIDEA)	Homo sapiens	GO:0042803~protein homodimerization activity,
CRABP1	cellular retinoic acid binding protein 1(CRABP1)	Homo sapiens	GO:0001972~retinoic acid binding,GO:0005215~transporter activity,GO:0005501~retinoid binding,GO:0005515~protein binding,GO:0016918~retinal binding,GO:0019841~retinol binding,
CLIC5	chloride intracellular channel 5(CLIC5)	Homo sapiens	GO:0004364~glutathione transferase activity,GO:0005244~voltage-gated ion channel activity,GO:0005254~chloride channel activity,GO:0005515~protein binding,
CLCNKA	chloride voltage-gated channel Ka(CLCNKA)	Homo sapiens	GO:0005247~voltage-gated chloride channel activity,GO:0031404~chloride ion binding,GO:0046872~metal ion binding,
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit(CHRNA1)	Homo sapiens	GO:0004889~acetylcholine-activated cation-selective channel activity,GO:0005216~ion channel activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0015276~ligand-gated ion channel activity,GO:0015464~acetylcholine receptor activity,GO:0042166~acetylcholine binding,
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit(CHRNA4)	Homo sapiens	GO:0004889~acetylcholine-activated cation-selective channel activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0015276~ligand-gated ion channel activity,GO:0015464~acetylcholine receptor activity,GO:0042166~acetylcholine binding,
