Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Disease	Allergic Rhinitis	1	0.04761905	2.35119048	0.3517	1	1	hsa-mir-187
Disease	Asthma	2	0.04878049	2.40853659	0.2002	1	1	hsa-mir-200c,hsa-mir-187
Disease	Carcinoma, Gallbladder	1	0.03703704	1.8287037	0.428	1	1	hsa-mir-187
Disease	Diabetes Mellitus, Type 2	4	0.02721088	1.34353741	0.3466	1	1	hsa-mir-200c,hsa-mir-375,hsa-mir-206,hsa-mir-187
Disease	Ischemia-Reperfusion Injury	1	0.04347826	2.14673913	0.3782	1	1	hsa-mir-187
Disease	Acute Kidney Injury	1	0.05882353	2.90441176	0.2955	1	1	hsa-mir-200c
Disease	Alzheimer's Disease	5	0.05	2.46875	0.0452	1	0.704	hsa-mir-200c,hsa-mir-323a,hsa-mir-375,hsa-mir-206,hsa-mir-483
Disease	Autoimmune Diseases [unspecific]	1	0.02777778	1.37152778	0.5266	1	1	hsa-mir-200c
Disease	Carcinoma, Skin	2	0.25	12.34375	0.0102	1	0.3029	hsa-mir-205,hsa-mir-200c
Disease	Carcinoma, Spindle Cell	2	0.5	24.6875	2.30e-3	0.594	0.1516	hsa-mir-200c,hsa-mir-205
Disease	Cardiomyopathy	1	0.04166667	2.05729167	0.391	1	1	hsa-mir-200c
Disease	Cardiovascular Diseases [unspecific]	1	0.015625	0.77148438	0.7397	1	1	hsa-mir-200c
Disease	Choriocarcinoma	2	0.03333333	1.64583333	0.3454	1	1	hsa-mir-200c,hsa-mir-205
Disease	Chronic Hepatitis B	1	0.03125	1.54296875	0.485	1	1	hsa-mir-200c
Disease	Diabetes Mellitus	2	0.02702703	1.33445946	0.4487	1	1	hsa-mir-200c,hsa-mir-375
Disease	Head And Neck Neoplasms	2	0.05555556	2.74305556	0.1634	1	1	hsa-mir-200c,hsa-mir-205
Disease	Human Cytomegalovirus Infection	1	0.11111111	5.48611111	0.1687	1	1	hsa-mir-200c
Disease	Kallmann Syndrome	1	0.16666667	8.22916667	0.1158	1	1	hsa-mir-200c
Disease	Kaposi's Sarcoma	1	0.03703704	1.8287037	0.428	1	1	hsa-mir-200c
Disease	Kawasaki's Syndrome	2	0.33333333	16.45833333	5.61e-3	1	0.2146	hsa-mir-483,hsa-mir-200c
Disease	Kidney Diseases [unspecific]	1	0.14285714	7.05357143	0.1338	1	1	hsa-mir-200c
Disease	Kidney Injury	1	0.03571429	1.76339286	0.4399	1	1	hsa-mir-200c
Disease	Kidney Neoplasms	1	0.09090909	4.48863636	0.2023	1	1	hsa-mir-200c
Disease	Leiomyoma	1	0.16666667	8.22916667	0.1158	1	1	hsa-mir-200c
Disease	Leiomyosarcoma	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-200c
Disease	Leukemia, Myeloid, Acute	3	0.02521008	1.2447479	0.4394	1	1	hsa-mir-200c,hsa-mir-323a,hsa-mir-551b
Disease	Liver Diseases [unspecific]	1	0.03448276	1.70258621	0.4515	1	1	hsa-mir-200c
Disease	Lymphoma	1	0.01666667	0.82291667	0.7162	1	1	hsa-mir-200c
Disease	Lymphoma, Large B-Cell, Diffuse	1	0.02631579	1.29934211	0.5462	1	1	hsa-mir-200c
Disease	Ovarian Serous Cystadenocarcinoma	1	0.25	12.34375	0.0787	1	0.9814	hsa-mir-200c
Disease	Pancreatic Neoplasms	1	0.015625	0.77148438	0.7397	1	1	hsa-mir-200c
Disease	Pituitary Adenoma	1	0.05263158	2.59868421	0.3241	1	1	hsa-mir-200c
Disease	Prostate Neoplasms	2	0.02666667	1.31666667	0.4557	1	1	hsa-mir-200c,hsa-mir-205
Disease	Tuberculosis, Pulmonary	2	0.07692308	3.79807692	0.0951	1	1	hsa-mir-200c,hsa-mir-206
Disease	Adenocarcinoma, Esophageal	1	0.04545455	2.24431818	0.3651	1	1	hsa-mir-205
Disease	Adenocarcinoma, Gastric	2	0.05263158	2.59868421	0.178	1	1	hsa-mir-483,hsa-mir-205
Disease	Aortic Aneurysm, Abdominal	1	0.04761905	2.35119048	0.3517	1	1	hsa-mir-205
Disease	Barrett's Esophagus	1	0.09090909	4.48863636	0.2023	1	1	hsa-mir-205
Disease	Bladder Neoplasms	1	0.02702703	1.33445946	0.5365	1	1	hsa-mir-205
Disease	Carcinoma, Adrenocortical	3	0.1	4.9375	0.0207	1	0.4907	hsa-mir-483,hsa-mir-205,hsa-mir-375
Disease	Carcinoma, Laryngeal	4	0.06349206	3.13492063	0.0346	1	0.7186	hsa-mir-206,hsa-mir-205,hsa-mir-487a,hsa-mir-375
Disease	Carcinoma, Thyroid	2	0.05555556	2.74305556	0.1634	1	1	hsa-mir-551b,hsa-mir-205
Disease	Cutaneous Melanoma	1	0.05263158	2.59868421	0.3241	1	1	hsa-mir-205
Disease	Human Papilloma Virus Infection	1	0.02941176	1.45220588	0.5062	1	1	hsa-mir-205
Disease	Keloid	1	0.07692308	3.79807692	0.2346	1	1	hsa-mir-205
Disease	Myelodysplastic Syndromes	1	0.03571429	1.76339286	0.4399	1	1	hsa-mir-205
Disease	Neuroblastoma	2	0.03389831	1.67372881	0.3378	1	1	hsa-mir-205,hsa-mir-375
Disease	Polycystic Kidney Disease	1	0.07142857	3.52678571	0.2503	1	1	hsa-mir-205
Disease	Preeclampsia	2	0.02702703	1.33445946	0.4487	1	1	hsa-mir-206,hsa-mir-205
Disease	Squamous Cell Carcinoma, Cerevial	2	0.11764706	5.80882353	0.0444	1	0.7115	hsa-mir-323a,hsa-mir-205
Disease	Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal	3	0.10714286	5.29017857	0.0172	1	0.4518	hsa-mir-206,hsa-mir-205,hsa-mir-375
Disease	Squamous Cell Carcinoma, Lung	3	0.13043478	6.44021739	9.92e-3	1	0.3013	hsa-mir-206,hsa-mir-205,hsa-mir-375
Disease	Squamous Cell Carcinoma, Skin or Unspecific	1	0.05555556	2.74305556	0.31	1	1	hsa-mir-205
Disease	Astrocytoma	1	0.05882353	2.90441176	0.2955	1	1	hsa-mir-206
Disease	Atherosclerosis	1	0.01052632	0.51973684	0.8682	1	1	hsa-mir-206
Disease	Bipolar Disorder	1	0.125	6.171875	0.1514	1	1	hsa-mir-206
Disease	Bronchopulmonary Dysplasia	1	0.0625	3.0859375	0.2807	1	1	hsa-mir-206
Disease	Carcinoma, Supraglottic	2	0.4	19.75	3.79e-3	0.9778	0.2041	hsa-mir-206,hsa-mir-375
Disease	Carcinoma, Thyroid, Anaplastic	1	0.08333333	4.11458333	0.2186	1	1	hsa-mir-206
Disease	Coronary Heart Diseases	1	0.01785714	0.88169643	0.6907	1	1	hsa-mir-206
Disease	Costello Syndrome	1	0.16666667	8.22916667	0.1158	1	1	hsa-mir-206
Disease	Dermatomyositis	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-206
Disease	Distal Myopathy	1	0.2	9.875	0.0974	1	1	hsa-mir-206
Disease	Epithelioid Sarcoma	1	0.25	12.34375	0.0787	1	0.9814	hsa-mir-206
Disease	Medulloblastoma	1	0.03333333	1.64583333	0.4629	1	1	hsa-mir-206
Disease	Mild Cognitive Impairment	2	0.18181818	8.97727273	0.0193	1	0.4679	hsa-mir-206,hsa-mir-323a
Disease	Muscle Diseases [unspecific]	1	0.125	6.171875	0.1514	1	1	hsa-mir-206
Disease	Muscular Dystrophy	1	0.03448276	1.70258621	0.4515	1	1	hsa-mir-206
Disease	Muscular Dystrophy, Duchenne	1	0.16666667	8.22916667	0.1158	1	1	hsa-mir-206
Disease	Muscular Dystrophy, Facioscapulohumeral	1	0.05555556	2.74305556	0.31	1	1	hsa-mir-206
Disease	Musculoskeletal Abnormalities [unspecific]	1	0.2	9.875	0.0974	1	1	hsa-mir-206
Disease	Mycobacterium Tuberculosis Infection	1	0.07692308	3.79807692	0.2346	1	1	hsa-mir-206
Disease	Myocardial Infarction	1	0.01923077	0.94951923	0.663	1	1	hsa-mir-206
Disease	Myotonic Muscular Dystrophy	1	0.07142857	3.52678571	0.2503	1	1	hsa-mir-206
Disease	Pulmonary Hypertension	1	0.02777778	1.37152778	0.5266	1	1	hsa-mir-206
Disease	Rhabdomyosarcoma	1	0.05555556	2.74305556	0.31	1	1	hsa-mir-206
Disease	Schizophrenia	1	0.01886792	0.93160377	0.6702	1	1	hsa-mir-206
Disease	Soft Tissue Sarcoma	1	0.125	6.171875	0.1514	1	1	hsa-mir-206
Disease	Spinal Muscular Atrophy	1	0.16666667	8.22916667	0.1158	1	1	hsa-mir-206
Disease	Waldenstrom Macroglobulinemia	1	0.125	6.171875	0.1514	1	1	hsa-mir-206
Disease	Acute Coronary Syndrome	1	0.04545455	2.24431818	0.3651	1	1	hsa-mir-323a
Disease	Ectopic Pregnancy	1	0.07692308	3.79807692	0.2346	1	1	hsa-mir-323a
Disease	Epilepsy	1	0.03703704	1.8287037	0.428	1	1	hsa-mir-323a
Disease	Allergy	1	0.04761905	2.35119048	0.3517	1	1	hsa-mir-375
Disease	Carcinoma, Basal Cell	1	0.1	4.9375	0.1857	1	1	hsa-mir-375
Disease	Carcinoma, Head And Neck	1	0.07692308	3.79807692	0.2346	1	1	hsa-mir-375
Disease	Carcinoma, Merkel Cell	1	0.33333333	16.45833333	0.0596	1	0.8611	hsa-mir-375
Disease	Carcinoma, Periampullary	1	0.2	9.875	0.0974	1	1	hsa-mir-375
Disease	Carcinoma, Thyroid, Follicular	1	0.11111111	5.48611111	0.1687	1	1	hsa-mir-375
Disease	Carcinoma, Thyroid, Papillary	1	0.01785714	0.88169643	0.6907	1	1	hsa-mir-375
Disease	Gallstones	1	0.2	9.875	0.0974	1	1	hsa-mir-375
Disease	Helicobacter Pylori Infection	1	0.1	4.9375	0.1857	1	1	hsa-mir-375
Disease	Liver Failure	1	0.33333333	16.45833333	0.0596	1	0.8611	hsa-mir-375
Disease	Liver Neoplasms	1	0.04	1.975	0.4036	1	1	hsa-mir-375
Disease	Maternal Obesity During Childbirth	1	0.06666667	3.29166667	0.2656	1	1	hsa-mir-375
Disease	Myeloproliferative Neoplasms	1	0.11111111	5.48611111	0.1687	1	1	hsa-mir-375
Disease	Polycystic Ovarian Syndrome	2	0.06896552	3.40517241	0.1146	1	1	hsa-mir-483,hsa-mir-375
Disease	Salivary Gland Neoplasms	1	0.11111111	5.48611111	0.1687	1	1	hsa-mir-375
Disease	Sepsis	1	0.02941176	1.45220588	0.5062	1	1	hsa-mir-375
Disease	Squamous Cell Carcinoma, Tongue	2	0.07407407	3.65740741	0.1015	1	1	hsa-mir-483,hsa-mir-375
Disease	Alcoholic Hepatitis	1	0.1	4.9375	0.1857	1	1	hsa-mir-483
Disease	Atrial Fibrillation	1	0.01666667	0.82291667	0.7162	1	1	hsa-mir-483
Disease	Carcinoma, Ovarian, Serous	2	0.08333333	4.11458333	0.0828	1	0.971	hsa-mir-483,hsa-mir-508
Disease	Essential Hypertension	1	0.05263158	2.59868421	0.3241	1	1	hsa-mir-483
Disease	Immune Thrombocytopenic Purpura	1	0.07692308	3.79807692	0.2346	1	1	hsa-mir-483
Disease	Intrahepatic Cholangiocarcinoma	1	0.04545455	2.24431818	0.3651	1	1	hsa-mir-483
Disease	Leukemia, Myeloid, Chronic	1	0.01492537	0.7369403	0.7561	1	1	hsa-mir-483
Disease	Obesity	1	0.01960784	0.96813725	0.6558	1	1	hsa-mir-483
Disease	Osteoarthritis	1	0.02439024	1.20426829	0.5741	1	1	hsa-mir-483
Disease	Osteoporosis	1	0.11111111	5.48611111	0.1687	1	1	hsa-mir-483
Disease	Vascular Diseases [unspecific]	1	0.03703704	1.8287037	0.428	1	1	hsa-mir-483
Disease	Alcoholic Cardiomyopathy	1	0.125	6.171875	0.1514	1	1	hsa-mir-506
Disease	Diabetes Mellitus, Gestational	1	0.04347826	2.14673913	0.3782	1	1	hsa-mir-508
Disease	Celiac Disease	1	0.1	4.9375	0.1857	1	1	hsa-mir-551b
Function	Angiogenesis	4	0.06153846	3.03846154	0.0382	1	0.781	hsa-mir-891a,hsa-mir-129-1,hsa-mir-184,hsa-mir-205
Function	Cell Death	5	0.06410256	3.1650641	0.0172	1	0.4619	hsa-mir-129-1,hsa-mir-129-2,hsa-mir-206,hsa-mir-184,hsa-mir-205
Function	Cell Proliferation	3	0.0375	1.8515625	0.217	1	1	hsa-mir-200c,hsa-mir-129-1,hsa-mir-206
Function	Epithelial-to-Mesenchymal Transition	8	0.09638554	4.75903614	1.21e-4	0.0313	0.0359	hsa-mir-934,hsa-mir-200c,hsa-mir-129-1,hsa-mir-129-2,hsa-mir-184,hsa-mir-141,hsa-mir-205,hsa-mir-375
Function	Glucose Metabolism	3	0.10714286	5.29017857	0.0172	1	0.4518	hsa-mir-129-1,hsa-mir-129-2,hsa-mir-375
Function	Aging	2	0.03174603	1.56746032	0.3681	1	1	hsa-mir-200c,hsa-mir-141
Function	Cell Cycle	4	0.04819277	2.37951807	0.0811	1	0.9712	hsa-mir-200c,hsa-mir-206,hsa-mir-141,hsa-mir-205
Function	Cellular Senescence	1	0.14285714	7.05357143	0.1338	1	1	hsa-mir-141
Function	Inflammation	4	0.03571429	1.76339286	0.1848	1	1	hsa-mir-206,hsa-mir-184,hsa-mir-205,hsa-mir-141
Function	Mesenchymal Stem Cell Proliferation	1	0.125	6.171875	0.1514	1	1	hsa-mir-141
Function	Neuron Development	1	0.1	4.9375	0.1857	1	1	hsa-mir-141
Function	Oxidative Stress	1	0.1	4.9375	0.1857	1	1	hsa-mir-141
Function	Response to Cytokine	1	0.2	9.875	0.0974	1	1	hsa-mir-141
Function	T-helper 17 Cell Differentiation	1	0.05263158	2.59868421	0.3241	1	1	hsa-mir-141
Function	Brain Development	2	0.05555556	2.74305556	0.1634	1	1	hsa-mir-184,hsa-mir-323a
Function	Keratinocyte Apoptosis(24184144)	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-184
Function	Wound Healing	2	0.08695652	4.29347826	0.0768	1	0.9681	hsa-mir-184,hsa-mir-205
Function	Cell Adhesion	1	0.125	6.171875	0.1514	1	1	hsa-mir-200c
Function	Cell Differentiation	2	0.03571429	1.76339286	0.3149	1	1	hsa-mir-200c,hsa-mir-206
Function	Embryonic Stem Cell Differentiation	1	0.03225806	1.59274194	0.474	1	1	hsa-mir-200c
Function	Immune Response	1	0.01086957	0.53668478	0.8591	1	1	hsa-mir-200c
Function	Nephrotoxicity	1	0.05882353	2.90441176	0.2955	1	1	hsa-mir-200c
Function	Osteogenesis	1	0.01694915	0.83686441	0.7101	1	1	hsa-mir-200c
Function	Type II Pneumocyte Differentiation	1	0.25	12.34375	0.0787	1	0.9814	hsa-mir-200c
Function	Cell Motility	2	0.0952381	4.70238095	0.0653	1	0.8697	hsa-mir-206,hsa-mir-205
Function	Cholesterol Efflux	1	0.06666667	3.29166667	0.2656	1	1	hsa-mir-206
Function	Hormone-mediated Signaling Pathway 	2	0.03448276	1.70258621	0.3302	1	1	hsa-mir-206,hsa-mir-375
Function	Muscle Development	1	0.04761905	2.35119048	0.3517	1	1	hsa-mir-206
Function	Skeletal Muscle Cell Differentiation	1	0.04545455	2.24431818	0.3651	1	1	hsa-mir-206
Function	Apoptosis	2	0.01886792	0.93160377	0.6486	1	1	hsa-mir-323a,hsa-mir-551b
Function	Adipocyte Differentiation	1	0.02439024	1.20426829	0.5741	1	1	hsa-mir-375
Function	Cleavage Stage Development	1	0.25	12.34375	0.0787	1	0.9814	hsa-mir-375
Function	Lipid Metabolism	1	0.02222222	1.09722222	0.6088	1	1	hsa-mir-375
Function	Pancreas Development	1	0.33333333	16.45833333	0.0596	1	0.8611	hsa-mir-375
Function	Smooth Muscle Cell Proliferation	1	0.05555556	2.74305556	0.31	1	1	hsa-mir-599
Function	Vascular Smooth Muscle Cell Migration	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-599
Family	mir-129 family	2	1	49.375	3.93e-4	0.1015	0.0777	hsa-mir-129-1,hsa-mir-129-2
Family	mir-8 family	2	0.4	19.75	3.79e-3	0.9778	0.2041	hsa-mir-141,hsa-mir-200c
Family	mir-1 family	1	0.33333333	16.45833333	0.0596	1	0.8611	hsa-mir-206
Family	mir-154 family	2	0.10526316	5.19736842	0.0545	1	0.8281	hsa-mir-323a,hsa-mir-487a
Family	mir-506 family	6	0.33333333	16.45833333	5.62e-7	1.45e-4	3.33e-4	hsa-mir-506,hsa-mir-508,hsa-mir-514a-1,hsa-mir-514a-2,hsa-mir-514a-3,hsa-mir-514b
Family	mir-551 family	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-551b
Family	mir-891 family	2	1	49.375	3.93e-4	0.1015	0.0777	hsa-mir-891a,hsa-mir-891b
